epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.32683,0.95692,2.8032,1.59464,0.68433,0.45455,0.42722,0.34393,0.9694,9.23579,1.42858,0.00015003,0.00015003,0.00015003
2,9.15946,0.95837,2.22307,1.50829,0.01672,0.58409,0.01041,0.0037,nan,nan,nan,0.000315162,0.000315162,0.000315162
3,13.8975,0.96008,1.70305,1.44925,0.01301,0.75909,0.01933,0.00863,1.50656,inf,9.84679,0.000478644,0.000478644,0.000478644
4,18.5814,0.96214,1.62016,1.47112,0,0,0,0,nan,nan,nan,0.000640476,0.000640476,0.000640476
5,23.2607,1.1271,1.64837,1.57328,0,0,0,0,nan,nan,nan,0.000800657,0.000800657,0.000800657
6,27.9176,0.99856,1.50268,1.50405,0,0,0,0,nan,nan,nan,0.000959188,0.000959188,0.000959188
7,32.5754,1.10915,1.56891,1.52817,0,0,0,0,nan,nan,nan,0.00111607,0.00111607,0.00111607
8,37.2488,1.07064,1.56673,1.52837,0,0,0,0,nan,nan,nan,0.0012713,0.0012713,0.0012713
9,41.9241,1.08352,1.5373,1.50103,0.00758,0.06818,0.00533,0.00053,0.62782,9901,10.0557,0.00142488,0.00142488,0.00142488
10,46.6114,1.03464,1.48849,1.50417,0,0,0,0,2.99304,inf,485.365,0.00157681,0.00157681,0.00157681
11,51.2856,1.02579,1.4641,1.48805,0.14238,0.02273,0.01294,0.00483,nan,nan,nan,0.00158448,0.00158448,0.00158448
12,56.0048,0.98474,1.41989,1.4449,0.12435,0.33032,0.08735,0.02581,3.32677,3.47736,6.84834,0.00157623,0.00157623,0.00157623
13,60.6983,0.97071,1.4046,1.47156,0.36919,0.73321,0.36006,0.16213,nan,nan,nan,0.00156798,0.00156798,0.00156798
14,65.406,0.91299,1.3602,1.42606,0.322,0.04545,0.04707,0.02873,nan,nan,nan,0.00155973,0.00155973,0.00155973
15,70.1473,0.98704,1.46032,1.46595,0.48711,0.72381,0.59205,0.36291,1.76567,2.68983,2.69083,0.00155148,0.00155148,0.00155148
16,75.0816,0.88646,1.35622,1.40706,0.14833,0.63409,0.15536,0.05019,2.81687,3.67894,3.32628,0.00154323,0.00154323,0.00154323
17,79.8013,0.84235,1.3568,1.35781,0.24187,0.78636,0.28766,0.13467,2.10352,2.33152,2.54188,0.00153497,0.00153497,0.00153497
18,84.5333,0.93598,1.42956,1.42738,0.28977,0.72273,0.43829,0.26226,1.32201,1.90135,1.75976,0.00152672,0.00152672,0.00152672
19,89.256,0.87633,1.38933,1.42342,0.47908,0.47727,0.28865,0.14567,1.65228,1.54452,2.22421,0.00151847,0.00151847,0.00151847
20,93.9903,0.93286,1.35576,1.40869,0.80905,0.02273,0.02475,0.01413,2.08004,2.36463,2.67122,0.00151022,0.00151022,0.00151022
