epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.88106,1.86723,3.54275,2.16108,0.1025,0.04273,0.01023,0.00137,4.21252,9.28077,4.26529,0.0001667,0.0001667,0.0001667
2,10.3285,1.76534,2.69665,1.98184,0,0,0,0,nan,nan,nan,0.000346604,0.000346604,0.000346604
3,15.7034,1.77361,2.44708,1.94653,0,0,0,0,nan,nan,nan,0.000522878,0.000522878,0.000522878
4,21.0756,1.83086,2.45043,2.02448,0,0,0,0,nan,nan,nan,0.000695521,0.000695521,0.000695521
5,26.4325,1.83614,2.24873,2.02074,0,0,0,0,nan,nan,nan,0.000864533,0.000864533,0.000864533
6,31.7936,1.75662,2.26383,2.01904,0,0,0,0,nan,nan,nan,0.00102991,0.00102991,0.00102991
7,37.1733,1.67217,2.12912,1.89408,0,0,0,0,nan,nan,nan,0.00119166,0.00119166,0.00119166
8,42.5542,1.63195,2.09347,1.88137,0,0,0,0,nan,nan,nan,0.00134978,0.00134978,0.00134978
9,47.9034,1.61693,2.07015,1.83927,0,0,0,0,nan,nan,nan,0.00150427,0.00150427,0.00150427
10,53.3029,1.61239,2.06881,1.86906,0.06079,0.15091,0.03454,0.00687,nan,nan,nan,0.00151847,0.00151847,0.00151847
11,58.8529,1.55952,1.96862,1.79031,0.50089,0.02273,0.00021,0.00011,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,64.2527,1.53065,1.86529,1.74094,0.05309,0.36182,0.02728,0.01082,nan,nan,nan,0.00148546,0.00148546,0.00148546
13,69.839,1.48813,1.91205,1.74758,0.00136,0.15909,0.00125,0.00038,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,75.2206,1.46718,1.92066,1.73838,0,0,0,0,nan,nan,nan,0.00145246,0.00145246,0.00145246
15,80.6174,1.46185,1.77279,1.71375,0,0,0,0,0,0.04199,0,0.00143595,0.00143595,0.00143595
16,86.0509,1.40845,1.81594,1.67159,0.62671,0.13636,0.09178,0.01998,nan,nan,nan,0.00141945,0.00141945,0.00141945
17,91.6267,1.47064,1.80065,1.72764,0.39706,0.23636,0.12154,0.03727,2.93439,9.69288,3.55975,0.00140295,0.00140295,0.00140295
18,97.2359,1.35426,1.70139,1.63834,0.11097,0.15569,0.08577,0.0296,2.97067,6.33389,3.57019,0.00138644,0.00138644,0.00138644
19,102.671,1.41141,1.77211,1.67873,0.2199,0.52909,0.2224,0.11255,2.61281,10.3135,4.93741,0.00136994,0.00136994,0.00136994
20,108.272,1.43785,1.73645,1.66202,0.43149,0.47545,0.40188,0.15364,2.17519,3.91692,2.94428,0.00135344,0.00135344,0.00135344
21,113.87,1.42395,1.72637,1.68179,0.33894,0.44455,0.35392,0.14888,2.17132,3.1907,3.05676,0.00133693,0.00133693,0.00133693
22,119.302,1.45665,1.73277,1.70322,0.46938,0.32818,0.34862,0.14711,2.51865,2.88764,3.00878,0.00132043,0.00132043,0.00132043
23,124.74,1.44943,1.75317,1.68598,0.5053,0.55545,0.53626,0.24087,2.06533,5.06179,2.95593,0.00130393,0.00130393,0.00130393
24,130.382,1.33831,1.66055,1.60968,0.27806,0.286,0.17936,0.06241,2.58412,3.51774,3.31222,0.00128742,0.00128742,0.00128742
25,135.846,1.41797,1.66558,1.61521,0.31691,0.35636,0.32772,0.1302,2.28612,2.67879,2.96777,0.00127092,0.00127092,0.00127092
26,141.305,1.39458,1.64985,1.5961,0.14433,0.13091,0.06661,0.01216,3.35234,3.75533,4.30697,0.00125442,0.00125442,0.00125442
27,146.742,1.38926,1.69045,1.65251,0.49085,0.42182,0.45803,0.19658,2.10459,2.47252,2.76155,0.00123791,0.00123791,0.00123791
28,152.206,1.33502,1.61286,1.59658,0.49227,0.42818,0.4444,0.22738,1.98201,2.11628,2.56304,0.00122141,0.00122141,0.00122141
29,157.663,1.28723,1.58036,1.55772,0.57485,0.47364,0.50929,0.26669,2.00842,1.90364,2.60188,0.00120491,0.00120491,0.00120491
30,163.281,1.29924,1.58931,1.5978,0.44819,0.42604,0.35165,0.12339,2.31966,2.51745,2.91127,0.0011884,0.0011884,0.0011884
31,168.745,1.3268,1.60113,1.57484,0.1903,0.27636,0.11574,0.02755,2.82925,3.51447,3.23978,0.0011719,0.0011719,0.0011719
32,174.224,1.28748,1.57545,1.52211,0.33793,0.4488,0.28661,0.13472,2.27969,2.89834,2.86383,0.0011554,0.0011554,0.0011554
33,179.679,1.36813,1.61436,1.60216,0.26534,0.60364,0.43413,0.1834,2.10408,2.85271,2.59882,0.00113889,0.00113889,0.00113889
34,185.135,1.3474,1.66914,1.58995,0.61541,0.53,0.57923,0.26014,2.09913,2.50382,2.93053,0.00112239,0.00112239,0.00112239
35,190.754,1.31515,1.59312,1.57626,0.524,0.72212,0.55562,0.27453,1.85305,2.40471,2.38607,0.00110589,0.00110589,0.00110589
36,196.348,1.21108,1.49596,1.51428,0.32152,0.39801,0.23053,0.11636,nan,nan,nan,0.00108938,0.00108938,0.00108938
37,201.812,1.30748,1.51993,1.58506,0.39572,0.49636,0.35866,0.17355,2.16444,2.15043,2.76372,0.00107288,0.00107288,0.00107288
38,207.293,1.386,1.55224,1.57547,0.47132,0.6681,0.52729,0.31633,1.75732,1.66651,2.2391,0.00105638,0.00105638,0.00105638
39,212.919,1.26809,1.45912,1.50919,0.5718,0.59045,0.53274,0.3034,1.79367,2.09346,2.10578,0.00103987,0.00103987,0.00103987
40,218.385,1.20907,1.48282,1.49117,0.42898,0.63909,0.54506,0.29977,1.90657,2.35272,2.43499,0.00102337,0.00102337,0.00102337
41,223.849,1.26881,1.49181,1.51261,0.58164,0.50818,0.49601,0.27052,2.04096,2.10268,2.45369,0.00100687,0.00100687,0.00100687
42,229.316,1.20598,1.40225,1.46093,0.67024,0.56502,0.61247,0.29236,1.90368,2.0093,2.26709,0.000990365,0.000990365,0.000990365
43,234.779,1.24682,1.47205,1.51293,0.72502,0.59578,0.616,0.31387,1.70809,2.11721,2.16895,0.000973861,0.000973861,0.000973861
44,240.415,1.1787,1.39508,1.45886,0.56184,0.57636,0.52655,0.25957,1.83777,1.84325,2.46573,0.000957358,0.000957358,0.000957358
45,245.896,1.16204,1.34159,1.4564,0.49085,0.65235,0.55931,0.27523,1.73816,1.7008,2.11279,0.000940855,0.000940855,0.000940855
46,251.354,1.24237,1.38883,1.47827,0.48802,0.69,0.57914,0.30612,1.64185,1.86035,2.01309,0.000924352,0.000924352,0.000924352
47,256.814,1.22106,1.42573,1.4938,0.4803,0.68455,0.61205,0.3292,1.60976,1.90451,2.10966,0.000907848,0.000907848,0.000907848
48,262.462,1.2217,1.29105,1.51604,0.6556,0.70911,0.74636,0.3564,1.57026,1.3664,1.85619,0.000891345,0.000891345,0.000891345
49,268.1,1.27318,1.40599,1.51405,0.60222,0.60727,0.63907,0.32351,1.74205,1.61787,2.03419,0.000874842,0.000874842,0.000874842
50,273.58,1.1621,1.38403,1.43646,0.57657,0.71854,0.66209,0.39252,1.65518,1.55795,2.02619,0.000858338,0.000858338,0.000858338
51,279.236,1.16524,1.33145,1.44097,0.56496,0.65273,0.6094,0.33035,1.88722,2.09909,2.3011,0.000841835,0.000841835,0.000841835
52,284.708,1.1683,1.38649,1.48103,0.41241,0.55364,0.4548,0.23899,1.84443,2.14469,2.48135,0.000825332,0.000825332,0.000825332
53,290.293,1.13576,1.26829,1.42592,0.80594,0.44,0.41033,0.22013,1.96803,2.53685,2.80968,0.000808828,0.000808828,0.000808828
54,295.844,1.13433,1.34913,1.48489,0.35701,0.53364,0.40013,0.22458,1.9478,2.26414,2.68346,0.000792325,0.000792325,0.000792325
55,301.412,1.17652,1.33503,1.4364,0.59257,0.57909,0.53098,0.25544,1.77358,1.90197,2.30662,0.000775822,0.000775822,0.000775822
56,306.851,1.14542,1.2906,1.42064,0.59264,0.68455,0.6137,0.33159,1.59318,1.76906,1.90797,0.000759318,0.000759318,0.000759318
57,312.283,1.11827,1.25571,1.40621,0.65086,0.67273,0.62765,0.33585,1.66592,1.80321,2.02048,0.000742815,0.000742815,0.000742815
58,317.691,1.14302,1.34992,1.44405,0.57449,0.71362,0.67272,0.41706,1.49334,1.53147,1.79283,0.000726312,0.000726312,0.000726312
59,323.279,1.17547,1.32572,1.43981,0.74058,0.7098,0.7642,0.39323,1.78185,1.33919,2.02269,0.000709809,0.000709809,0.000709809
60,328.689,1.1445,1.2925,1.4308,0.67599,0.67367,0.67853,0.35807,1.79333,1.71386,2.07738,0.000693305,0.000693305,0.000693305
61,334.251,1.13393,1.2747,1.43253,0.56334,0.79818,0.71714,0.44023,1.5574,1.56392,1.78362,0.000676802,0.000676802,0.000676802
62,340.055,1.15013,1.24938,1.46878,0.62042,0.80091,0.75266,0.45668,1.53606,1.37403,1.78877,0.000660299,0.000660299,0.000660299
63,345.825,1.10106,1.25333,1.40027,0.6771,0.64111,0.6952,0.40478,1.66417,1.56235,1.86325,0.000643795,0.000643795,0.000643795
64,351.312,1.15729,1.22866,1.45172,0.55617,0.66455,0.59815,0.37285,1.70512,1.56542,2.03545,0.000627292,0.000627292,0.000627292
65,356.8,1.12355,1.26159,1.42487,0.63857,0.61909,0.66711,0.44434,1.61116,1.37003,1.89249,0.000610789,0.000610789,0.000610789
66,362.26,1.0606,1.16117,1.38584,0.87711,0.73818,0.79256,0.46292,1.60594,1.3176,1.71937,0.000594286,0.000594286,0.000594286
67,367.908,1.09907,1.16483,1.39676,0.76623,0.74821,0.81798,0.4309,1.59505,1.33769,1.68931,0.000577782,0.000577782,0.000577782
68,373.387,1.03407,1.13383,1.33733,0.72375,0.77545,0.78528,0.45802,1.44615,1.2177,1.66887,0.000561279,0.000561279,0.000561279
69,378.856,1.00502,1.16061,1.36433,0.7009,0.77403,0.77873,0.50776,1.32715,1.18918,1.59373,0.000544776,0.000544776,0.000544776
70,384.499,1.05775,1.17029,1.38368,0.67129,0.78178,0.7751,0.5246,1.3659,1.19046,1.60873,0.000528272,0.000528272,0.000528272
