epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81826,1.86723,3.54275,2.16108,0.1025,0.04273,0.01023,0.00137,4.21252,9.28077,4.26529,0.0001667,0.0001667,0.0001667
2,10.2185,1.76109,2.58712,1.98899,0.01042,0.02,0.00502,0.0012,3.87761,259.892,8.39465,0.000345119,0.000345119,0.000345119
3,15.5424,1.80788,2.41752,1.99128,0,0,0,0,nan,nan,nan,0.000518351,0.000518351,0.000518351
4,20.8406,1.81282,2.31519,1.99682,0,0,0,0,nan,nan,nan,0.000686397,0.000686397,0.000686397
5,26.1319,1.90876,2.38048,2.04132,0,0,0,0,nan,nan,nan,0.000849256,0.000849256,0.000849256
6,31.4005,1.75762,2.23434,1.97614,0,0,0,0,nan,nan,nan,0.00100693,0.00100693,0.00100693
7,36.6837,1.62091,2.18016,1.86222,0,0,0,0,nan,nan,nan,0.00115941,0.00115941,0.00115941
8,41.9875,1.58645,2.07311,1.83638,0,0,0,0,nan,nan,nan,0.00130671,0.00130671,0.00130671
9,47.2756,1.61663,2.00937,1.84879,0,0,0,0,nan,nan,nan,0.00144882,0.00144882,0.00144882
10,52.587,1.62052,2.00469,1.85552,0,0,0,0,nan,nan,nan,0.00145481,0.00145481,0.00145481
11,57.8974,1.68182,2.04203,1.84555,0,0,0,0,nan,nan,nan,0.00143124,0.00143124,0.00143124
12,63.2215,1.56995,1.99469,1.7796,0.37847,0.06545,0.01908,0.00575,nan,nan,nan,0.00140766,0.00140766,0.00140766
13,68.7159,1.51714,1.90202,1.76662,0.50563,0.09091,0.02049,0.01501,nan,nan,nan,0.00138409,0.00138409,0.00138409
14,74.2075,1.48438,1.94379,1.76288,0.22004,0.31545,0.01589,0.00653,nan,nan,nan,0.00136051,0.00136051,0.00136051
15,79.5505,1.51835,1.8917,1.74412,0.05416,0.10273,0.01938,0.0057,3.77735,9.1228,4.14492,0.00133693,0.00133693,0.00133693
16,84.9138,1.43069,1.8817,1.70582,0.53123,0.15909,0.02933,0.01045,nan,nan,nan,0.00131336,0.00131336,0.00131336
17,90.3062,1.48902,1.82583,1.73343,0.29901,0.26727,0.03915,0.0128,nan,nan,nan,0.00128978,0.00128978,0.00128978
18,95.665,1.38899,1.78017,1.6517,0.20835,0.39364,0.19807,0.06439,2.57056,5.03296,3.00123,0.00126621,0.00126621,0.00126621
19,101.189,1.48328,1.81382,1.7192,0.1016,0.51897,0.10427,0.02708,2.4316,14.4409,3.20668,0.00124263,0.00124263,0.00124263
20,106.556,1.46974,1.80175,1.71106,0.11183,0.53455,0.06081,0.01768,2.56613,16.6436,3.42677,0.00121905,0.00121905,0.00121905
21,111.924,1.53245,1.86348,1.72994,0.27328,0.34727,0.1561,0.07156,2.56731,6.01178,3.62687,0.00119548,0.00119548,0.00119548
22,117.453,1.48849,1.88366,1.72268,0.41198,0.47636,0.3579,0.19877,2.17253,3.47155,2.91258,0.0011719,0.0011719,0.0011719
23,122.998,1.48397,1.77966,1.71109,0.31903,0.29746,0.29235,0.14088,2.5726,2.4201,2.86696,0.00114832,0.00114832,0.00114832
24,128.368,1.35762,1.71184,1.62573,0.20325,0.29909,0.17373,0.05684,2.58563,3.00988,2.78186,0.00112475,0.00112475,0.00112475
25,133.754,1.38478,1.71514,1.61241,0.49164,0.49,0.39515,0.15983,2.15778,2.4535,2.64463,0.00110117,0.00110117,0.00110117
26,139.122,1.42301,1.76083,1.63897,0.79708,0.36,0.3176,0.17576,2.1844,3.3488,2.89531,0.0010776,0.0010776,0.0010776
27,144.502,1.41059,1.81511,1.64881,0.31749,0.49909,0.32154,0.13744,2.2712,2.83755,2.75755,0.00105402,0.00105402,0.00105402
28,149.884,1.40991,1.75188,1.65454,0.41027,0.65818,0.51868,0.24414,1.91497,2.04645,2.34478,0.00103044,0.00103044,0.00103044
29,155.438,1.31425,1.61653,1.58457,0.4711,0.65273,0.53275,0.26939,1.90334,2.0159,2.37624,0.00100687,0.00100687,0.00100687
30,161.017,1.41841,1.59606,1.63459,0.48427,0.63379,0.4997,0.23002,1.87474,2.10109,2.51153,0.000983292,0.000983292,0.000983292
31,166.406,1.44521,1.67943,1.62857,0.51627,0.69669,0.5377,0.24082,1.83638,1.98932,2.31312,0.000959716,0.000959716,0.000959716
32,171.794,1.35813,1.64278,1.59064,0.4381,0.63,0.48737,0.23616,1.77796,1.98006,2.38883,0.00093614,0.00093614,0.00093614
33,177.19,1.39731,1.62829,1.60229,0.52636,0.54455,0.57391,0.25786,1.97464,2.12225,2.62488,0.000912563,0.000912563,0.000912563
34,182.569,1.29696,1.6392,1.55098,0.5776,0.49636,0.44939,0.18437,2.06755,2.27261,2.95214,0.000888987,0.000888987,0.000888987
35,187.956,1.28819,1.52507,1.50772,0.28201,0.55355,0.31247,0.13297,2.0109,2.84935,2.82181,0.000865411,0.000865411,0.000865411
36,193.349,1.20945,1.49312,1.48024,0.4695,0.50891,0.38124,0.14784,2.14535,2.71616,3.17963,0.000841835,0.000841835,0.000841835
37,198.763,1.33698,1.58732,1.61142,0.64684,0.50545,0.3975,0.19891,1.99343,2.12582,2.58698,0.000818259,0.000818259,0.000818259
38,204.146,1.37098,1.58996,1.57819,0.59134,0.65028,0.63112,0.30833,1.88654,1.64124,2.26184,0.000794683,0.000794683,0.000794683
39,209.691,1.25293,1.4985,1.51088,0.43959,0.35364,0.31798,0.10846,nan,nan,nan,0.000771107,0.000771107,0.000771107
40,215.074,1.26274,1.5277,1.52362,0.54182,0.27459,0.31487,0.14674,nan,nan,nan,0.00074753,0.00074753,0.00074753
41,220.466,1.22993,1.49463,1.47919,0.49257,0.51091,0.49804,0.27502,nan,nan,nan,0.000723954,0.000723954,0.000723954
42,225.858,1.222,1.44272,1.50597,0.65377,0.61364,0.63402,0.3454,1.74289,1.55277,2.15432,0.000700378,0.000700378,0.000700378
43,231.408,1.26789,1.47313,1.53244,0.68102,0.64455,0.67493,0.34833,1.66131,1.61277,1.93235,0.000676802,0.000676802,0.000676802
44,236.993,1.22837,1.43716,1.45959,0.84097,0.61106,0.72965,0.40726,1.64842,1.42899,1.89416,0.000653226,0.000653226,0.000653226
45,242.556,1.1686,1.3881,1.44165,0.59862,0.75545,0.71358,0.43236,1.51244,1.37723,1.77809,0.00062965,0.00062965,0.00062965
46,248.121,1.18685,1.40447,1.45231,0.41607,0.57909,0.45643,0.28879,1.71991,1.74692,2.08148,0.000606074,0.000606074,0.000606074
47,253.506,1.22833,1.45298,1.48016,0.40075,0.60182,0.47335,0.2633,1.71574,1.77093,2.0556,0.000582497,0.000582497,0.000582497
48,258.911,1.16738,1.34067,1.45892,0.40204,0.64223,0.4444,0.24109,1.70133,1.85179,1.98104,0.000558921,0.000558921,0.000558921
49,264.312,1.2086,1.40599,1.46009,0.46608,0.77818,0.56048,0.32457,1.56577,1.64172,1.8293,0.000535345,0.000535345,0.000535345
50,269.716,1.13022,1.36516,1.41232,0.55661,0.74254,0.62519,0.37352,1.61517,1.42471,1.84841,0.000511769,0.000511769,0.000511769
51,275.114,1.11,1.3089,1.41535,0.52835,0.78364,0.61416,0.3628,1.74712,1.37774,2.03912,0.000488193,0.000488193,0.000488193
52,280.52,1.175,1.37254,1.49155,0.57208,0.58364,0.57659,0.31215,1.63102,1.71459,1.81557,0.000464617,0.000464617,0.000464617
53,285.942,1.13051,1.28658,1.41353,0.60775,0.75545,0.68207,0.38358,1.56446,1.29464,1.79634,0.000441041,0.000441041,0.000441041
54,291.361,1.14262,1.33221,1.45975,0.58966,0.81818,0.66486,0.37528,1.58825,1.28308,1.82489,0.000417464,0.000417464,0.000417464
55,296.777,1.10538,1.30895,1.39911,0.71891,0.77125,0.73696,0.42173,1.41452,1.17989,1.6883,0.000393888,0.000393888,0.000393888
56,302.18,1.12173,1.24153,1.42228,0.66815,0.77105,0.76388,0.44693,1.54475,1.22992,1.76196,0.000370312,0.000370312,0.000370312
57,307.762,1.12059,1.24611,1.3913,0.76553,0.79818,0.79157,0.47299,1.50003,1.20291,1.73352,0.000346736,0.000346736,0.000346736
58,313.324,1.11617,1.30369,1.40994,0.67338,0.64496,0.66631,0.41139,1.50665,1.215,1.77454,0.00032316,0.00032316,0.00032316
59,318.723,1.17961,1.31399,1.44323,0.64554,0.68987,0.67899,0.40611,1.52207,1.28791,1.77952,0.000299584,0.000299584,0.000299584
60,324.125,1.11005,1.2787,1.39816,0.6436,0.75683,0.73335,0.41103,1.42908,1.28388,1.68953,0.000276008,0.000276008,0.000276008
61,329.848,1.18833,1.39839,1.54478,0.55136,0.83625,0.69253,0.3957,1.42277,1.30036,1.67895,0.000252431,0.000252431,0.000252431
